Country,Year,Crop,Yield,Yield_Unit,Rainfall,Pesticides,Avg_Temperature,Yield_Normalized,Rainfall_Normalized,Pesticides_Normalized,Temperature_Normalized,Country_Index,Crop_Index,Yield_Category,Rainfall_Category,Temperature_Category,ID,Processing_Date,Processing_Version,Data_Quality_Score
china,2000,Maize,45992.0,hg/ha,645.0,1279533.0,8.93,0.1322052920101869,0.22406639004149378,0.7084900267661135,0.3103448275862069,0.0,0.0,Medium,Low,Cold,35,2025-12-01,v1.0,100
china,2011,Maize,57481.0,hg/ha,645.0,1787002.0,13.6,0.16526668681026171,0.22406639004149378,0.9894806199220514,0.45808288516292317,0.0,0.0,Medium,Low,Cold,36,2025-12-01,v1.0,100
china,2011,Maize,57481.0,hg/ha,645.0,1787002.0,11.07,0.16526668681026171,0.22406639004149378,0.9894806199220514,0.378044922492882,0.0,0.0,Medium,Low,Cold,37,2025-12-01,v1.0,100
china,1995,Potatoes,133844.0,hg/ha,645.0,1087044.0,4.76,0.38501316527819746,0.22406639004149378,0.6019069679270647,0.17842454919329326,0.0,3.0,High,Low,Cold,38,2025-12-01,v1.0,100
china,2006,Potatoes,128342.0,hg/ha,645.0,1537000.0,6.19,0.36918029956403503,0.22406639004149378,0.8510520454275093,0.2236633976589687,0.0,3.0,High,Low,Cold,39,2025-12-01,v1.0,100
china,2001,"Rice, paddy",61524.0,hg/ha,645.0,1274820.0,17.69,0.17690105178342758,0.22406639004149378,0.7058803921568193,0.5874723188864284,0.0,1.0,Medium,Low,Temperate,40,2025-12-01,v1.0,100
china,2007,"Rice, paddy",64223.0,hg/ha,645.0,1623000.0,18.69,0.18466784650580567,0.22406639004149378,0.8986710941012424,0.6191078772540336,0.0,1.0,Medium,Low,Temperate,41,2025-12-01,v1.0,100
china,2011,"Rice, paddy",66862.0,hg/ha,645.0,1787002.0,3.92,0.1922619818419879,0.22406639004149378,0.9894806199220514,0.1518506801645049,0.0,1.0,Medium,Low,Cold,42,2025-12-01,v1.0,100
china,1994,Sorghum,46220.0,hg/ha,645.0,978551.0,14.46,0.13286139767773125,0.22406639004149378,0.5418333231856771,0.48528946535906364,0.0,4.0,Medium,Low,Cold,43,2025-12-01,v1.0,100
china,2004,Sorghum,41059.0,hg/ha,645.0,1386028.0,10.97,0.1180098128084488,0.22406639004149378,0.7674573591906392,0.37488136665612154,0.0,4.0,Medium,Low,Cold,44,2025-12-01,v1.0,100
china,2008,Sorghum,37507.0,hg/ha,645.0,1672300.0,4.63,0.10778837714565258,0.22406639004149378,0.925968990608394,0.1743119266055046,0.0,4.0,Medium,Low,Cold,45,2025-12-01,v1.0,100
china,1990,Soybeans,14554.0,hg/ha,645.0,765307.0,14.12,0.04173752895641789,0.22406639004149378,0.42375801603007784,0.4745333755140778,0.0,5.0,Low,Low,Cold,46,2025-12-01,v1.0,100
china,1990,Soybeans,14554.0,hg/ha,645.0,765307.0,19.33,0.04173752895641789,0.22406639004149378,0.42375801603007784,0.6393546346093008,0.0,5.0,Low,Low,Temperate,47,2025-12-01,v1.0,100
china,1995,Soybeans,16617.0,hg/ha,645.0,1087044.0,5.45,0.04767413418511964,0.22406639004149378,0.6019069679270647,0.20025308446694084,0.0,5.0,Low,Low,Cold,48,2025-12-01,v1.0,100
china,1996,Soybeans,17703.0,hg/ha,645.0,1140812.0,13.41,0.0507992690752651,0.22406639004149378,0.6316788401257771,0.4520721290730782,0.0,5.0,Low,Low,Cold,49,2025-12-01,v1.0,100
china,2004,Soybeans,18148.0,hg/ha,645.0,1386028.0,14.37,0.05207982618955123,0.22406639004149378,0.7674573591906392,0.48244226510597915,0.0,5.0,Low,Low,Cold,50,2025-12-01,v1.0,100
china,2005,Soybeans,17045.0,hg/ha,645.0,1460000.0,17.55,0.048905771139983595,0.22406639004149378,0.8084163855684692,0.5830433407149637,0.0,5.0,Low,Low,Temperate,51,2025-12-01,v1.0,100
china,2007,Soybeans,14537.0,hg/ha,645.0,1623000.0,6.24,0.04168860879699573,0.22406639004149378,0.8986710941012424,0.22524517557734894,0.0,5.0,Low,Low,Cold,52,2025-12-01,v1.0,100
china,1996,Sweet potatoes,204201.0,hg/ha,645.0,1140812.0,15.82,0.5874764391879254,0.22406639004149378,0.6316788401257771,0.5283138247390067,0.0,6.0,High,Low,Temperate,53,2025-12-01,v1.0,100
china,2005,Sweet potatoes,221808.0,hg/ha,645.0,1460000.0,16.75,0.6381433360671069,0.22406639004149378,0.8084163855684692,0.5577348940208795,0.0,6.0,High,Low,Temperate,54,2025-12-01,v1.0,100
china,2007,Sweet potatoes,207023.0,hg/ha,645.0,1623000.0,15.82,0.595597185652005,0.22406639004149378,0.8986710941012424,0.5283138247390067,0.0,6.0,High,Low,Temperate,55,2025-12-01,v1.0,100
china,2011,Sweet potatoes,216470.0,hg/ha,645.0,1787002.0,14.59,0.6227824060085466,0.22406639004149378,0.9894806199220514,0.4894020879468523,0.0,6.0,High,Low,Cold,56,2025-12-01,v1.0,100
china,2013,Sweet potatoes,210644.0,hg/ha,645.0,1801862.0,23.0,0.6060171796089265,0.22406639004149378,0.9977087485649778,0.7554571338184118,0.0,6.0,High,Low,Hot,57,2025-12-01,v1.0,100
china,1993,Maize,49630.0,hg/ha,645.0,844800.0,11.87,0.14267420612653056,0.22406639004149378,0.4677740745907879,0.4033533691869662,0.0,0.0,Medium,Low,Cold,58,2025-12-01,v1.0,100
china,1996,Maize,52033.0,hg/ha,645.0,1140812.0,11.92,0.14958921454367563,0.22406639004149378,0.6316788401257771,0.40493514710534645,0.0,0.0,Medium,Low,Cold,59,2025-12-01,v1.0,100
china,1997,"Rice, paddy",63192.0,hg/ha,645.0,1195466.0,19.31,0.1817009827196731,0.22406639004149378,0.6619412992678029,0.6387219234419487,0.0,1.0,Medium,Low,Temperate,60,2025-12-01,v1.0,100
china,1995,Soybeans,16614.0,hg/ha,645.0,1087044.0,11.14,0.04766550121580984,0.22406639004149378,0.6019069679270647,0.3802594115786144,0.0,5.0,Low,Low,Cold,61,2025-12-01,v1.0,100
china,2008,Sweet potatoes,207871.0,hg/ha,645.0,1672300.0,14.52,0.5980374383102401,0.22406639004149378,0.925968990608394,0.4871875988611199,0.0,6.0,High,Low,Cold,62,2025-12-01,v1.0,100
ivory coast,2009,Sorghum,6413.0,hg/ha,1348.0,93.0,26.98,0.018310527906073293,0.4892493398717465,5.147286935709566E-5,0.8813666561214806,18.0,4.0,Low,High,Hot,63,2025-12-01,v1.0,100
ivory coast,2005,Soybeans,7500.0,hg/ha,1348.0,93.0,26.5,0.021438540452655357,0.4892493398717465,5.147286935709566E-5,0.86618158810503,18.0,5.0,Low,High,Hot,64,2025-12-01,v1.0,100
czech republic,2007,Soybeans,17513.0,hg/ha,677.0,6194.49,10.25,0.05025251435231148,0.23613730667672575,0.003429928093686115,0.35210376463144577,93.0,5.0,Low,Medium,Cold,65,2025-12-01,v1.0,100
czech republic,2010,Soybeans,17034.0,hg/ha,677.0,4957.4,8.13,0.04887411691918102,0.23613730667672575,0.0027449391527118307,0.2850363808921228,93.0,5.0,Low,Medium,Cold,66,2025-12-01,v1.0,100
dominican republic,1990,Cassava,64479.0,hg/ha,1410.0,4971.0,26.67,0.18540452655357476,0.5126367408525084,0.0027524696069207,0.8715596330275229,17.0,7.0,Medium,High,Hot,67,2025-12-01,v1.0,100
dominican republic,1995,Maize,14034.0,hg/ha,1410.0,3449.0,26.78,0.040241147609386914,0.5126367408525084,0.0019097231873692845,0.8750395444479595,17.0,0.0,Low,High,Hot,68,2025-12-01,v1.0,100
ecuador,2008,"Rice, paddy",40639.0,hg/ha,2274.0,15396.14,21.89,0.11680119710507762,0.8385514900037722,0.008524972503321649,0.7203416640303701,12.0,1.0,Medium,High,Hot,69,2025-12-01,v1.0,100
ecuador,1991,Sweet potatoes,26571.0,hg/ha,2274.0,2377.0,17.59,0.07631832635501648,0.8385514900037722,0.0013161462085525186,0.5843087630496678,12.0,6.0,Low,High,Temperate,70,2025-12-01,v1.0,100
egypt,1997,"Rice, paddy",84152.0,hg/ha,51.0,4607.0,21.45,0.2420166616307679,0.0,0.002550919214859783,0.7064220183486238,21.0,1.0,High,Low,Temperate,71,2025-12-01,v1.0,100
france,1995,Wheat,65079.0,hg/ha,867.0,84011.0,11.69,0.1871311204155336,0.30780837419841567,0.0465176975972912,0.39765896868079725,76.0,2.0,Medium,Medium,Cold,72,2025-12-01,v1.0,100
greece,1990,Maize,96965.0,hg/ha,652.0,7420.0,18.05,0.2788880735528985,0.22670690305545077,0.0041085050743854944,0.5988611198987662,53.0,0.0,High,Medium,Temperate,73,2025-12-01,v1.0,100
guatemala,1997,Soybeans,27600.0,hg/ha,1996.0,11419.53,20.16,0.07927943482827585,0.7336854017351943,0.006323084303944282,0.6656121480544132,39.0,5.0,Low,High,Temperate,74,2025-12-01,v1.0,100
guatemala,2008,Sweet potatoes,66667.0,hg/ha,1996.0,18091.67,19.51,0.19170083883685127,0.7336854017351943,0.01001751406461825,0.6450490351154698,39.0,6.0,Medium,High,Temperate,75,2025-12-01,v1.0,100
guyana,2004,Cassava,109834.0,hg/ha,2387.0,289.9,27.45,0.3159206342354786,0.8811769143719351,1.6049834242521245E-4,0.8962353685542549,74.0,7.0,High,High,Hot,76,2025-12-01,v1.0,100
haiti,2004,Maize,7615.0,hg/ha,1440.0,27.85,27.37,0.021769470942864133,0.5239532251980384,1.5398671437401362E-5,0.8937045238848466,41.0,0.0,Low,High,Hot,77,2025-12-01,v1.0,100
haiti,1999,Yams,54167.0,hg/ha,1440.0,26.32,27.01,0.15573013337937583,0.5239532251980384,1.4551495338903551E-5,0.8823157228725087,41.0,8.0,Medium,High,Hot,78,2025-12-01,v1.0,100
honduras,1995,Cassava,61251.0,hg/ha,1976.0,7800.0,24.95,0.17611545157623631,0.7261410788381742,0.0043189148243391986,0.817146472635242,38.0,7.0,Medium,High,Hot,79,2025-12-01,v1.0,100
honduras,2005,Maize,15387.0,hg/ha,1976.0,3666.21,24.77,0.044134616768104054,0.7261410788381742,0.0020299945078625582,0.811452072129073,38.0,0.0,Low,High,Hot,80,2025-12-01,v1.0,100
honduras,1994,Sorghum,6953.0,hg/ha,1976.0,3160.91,24.87,0.019864462381836232,0.7261410788381742,0.0017502049114109615,0.8146156279658336,38.0,4.0,Low,High,Hot,81,2025-12-01,v1.0,100
honduras,2004,Sorghum,11509.0,hg/ha,1976.0,3034.91,24.68,0.03297506510697688,0.7261410788381742,0.0016804374680052594,0.8086048718759886,38.0,4.0,Low,High,Hot,82,2025-12-01,v1.0,100
hungary,1998,"Rice, paddy",27031.0,hg/ha,589.0,5280.0,10.35,0.07764204831585157,0.2029422859298378,0.0029235659562251597,0.3552673204682063,64.0,1.0,Low,Low,Cold,83,2025-12-01,v1.0,100
india,1994,Cassava,245277.0,hg/ha,1083.0,61357.0,26.55,0.7056790549776262,0.3892870614862316,0.033973954240840626,0.8677633660234103,2.0,7.0,High,High,Hot,84,2025-12-01,v1.0,100
india,1996,Cassava,238528.0,hg/ha,1083.0,56114.0,25.75,0.6862577516870261,0.3892870614862316,0.031070853401347805,0.8424549193293261,2.0,7.0,High,High,Hot,85,2025-12-01,v1.0,100
india,1991,Maize,13763.0,hg/ha,1083.0,72133.0,25.74,0.03946130271506885,0.3892870614862316,0.03994073178163304,0.84213856374565,2.0,0.0,Low,High,Hot,86,2025-12-01,v1.0,100
india,1992,Maize,16758.0,hg/ha,1083.0,70791.0,26.09,0.04807988374267996,0.3892870614862316,0.03919765313837549,0.8532110091743119,2.0,0.0,Low,High,Hot,87,2025-12-01,v1.0,100
india,1995,Maize,15946.0,hg/ha,1083.0,61257.0,25.24,0.045743226716162357,0.3892870614862316,0.033918583254010704,0.8263207845618474,2.0,0.0,Low,High,Hot,88,2025-12-01,v1.0,100
india,1997,Maize,17111.0,hg/ha,1083.0,52279.0,25.09,0.04909569646479907,0.3892870614862316,0.02894737605642029,0.8215754508067067,2.0,0.0,Low,High,Hot,89,2025-12-01,v1.0,100
india,2009,Maize,20238.0,hg/ha,1083.0,28707.01,27.14,0.058094128142041124,0.3892870614862316,0.015895332577969712,0.8864283454602974,2.0,0.0,Low,High,Hot,90,2025-12-01,v1.0,100
india,1992,Potatoes,160294.0,hg/ha,1083.0,70791.0,26.82,0.46112717802621545,0.3892870614862316,0.03919765313837549,0.8763049667826637,2.0,3.0,High,High,Hot,91,2025-12-01,v1.0,100
india,1993,Potatoes,149024.0,hg/ha,1083.0,66388.0,27.04,0.4286959899857556,0.3892870614862316,0.03675966858825402,0.8832647896235368,2.0,3.0,High,High,Hot,92,2025-12-01,v1.0,100
india,2012,Potatoes,217530.0,hg/ha,1083.0,52980.0,25.3,0.6258327218313405,0.3892870614862316,0.029335526674098045,0.8282189180639038,2.0,3.0,High,High,Hot,93,2025-12-01,v1.0,100
india,2006,Soybeans,10628.0,hg/ha,1083.0,37423.0,26.28,0.03043984978633401,0.3892870614862316,0.02072146225296705,0.859221765264157,2.0,5.0,Low,High,Hot,94,2025-12-01,v1.0,100
india,2000,Sweet potatoes,97421.0,hg/ha,1083.0,44957.52,27.03,0.2802002848879872,0.3892870614862316,0.0248934003298649,0.8829484340398608,2.0,6.0,High,High,Hot,95,2025-12-01,v1.0,100
india,1999,Wheat,25901.0,hg/ha,1083.0,46195.0,26.42,0.07439029654249579,0.3892870614862316,0.025578605217687823,0.8636507434356216,2.0,2.0,Low,High,Hot,96,2025-12-01,v1.0,100
indonesia,1996,Cassava,120150.0,hg/ha,2702.0,1597.0,27.0,0.34560653803542396,1.0,8.842525112791255E-4,0.8819993672888327,9.0,7.0,High,High,Hot,97,2025-12-01,v1.0,100
indonesia,2007,Potatoes,160919.0,hg/ha,2702.0,1597.0,27.21,0.4629257132990892,1.0,8.842525112791255E-4,0.8886428345460298,9.0,3.0,High,High,Hot,98,2025-12-01,v1.0,100
indonesia,1991,"Rice, paddy",43465.0,hg/ha,2702.0,3259.0,26.61,0.12493345419490368,1.0,0.0018045183123924322,0.8696614995254666,9.0,1.0,Medium,High,Hot,99,2025-12-01,v1.0,100
indonesia,2012,Soybeans,14854.0,hg/ha,2702.0,1597.0,27.36,0.0426008258873973,1.0,8.842525112791255E-4,0.8933881683011705,9.0,5.0,Low,High,Hot,100,2025-12-01,v1.0,100
indonesia,2004,Sweet potatoes,103053.0,hg/ha,2702.0,1597.0,27.57,0.2964072459389073,1.0,8.842525112791255E-4,0.9000316355583676,9.0,6.0,High,High,Hot,101,2025-12-01,v1.0,100
iran,1995,Soybeans,19426.0,hg/ha,228.0,8746.0,10.63,0.05575747111552352,0.06676725763862694,0.004842724359750262,0.36412527681113577,20.0,5.0,Low,Low,Cold,102,2025-12-01,v1.0,100
iran,1995,Soybeans,19426.0,hg/ha,228.0,8746.0,14.01,0.05575747111552352,0.06676725763862694,0.004842724359750262,0.4710534640936413,20.0,5.0,Low,Low,Cold,103,2025-12-01,v1.0,100
jamaica,1992,Plantains and others,155229.0,hg/ha,2051.0,1415.65,27.25,0.4465518481748464,0.7544322897019993,7.838372266630616E-4,0.8899082568807339,54.0,9.0,High,High,Hot,104,2025-12-01,v1.0,100
jamaica,1990,"Rice, paddy",23656.0,hg/ha,2051.0,1415.65,27.28,0.0679299578423332,0.7544322897019993,7.838372266630616E-4,0.8908573236317621,54.0,1.0,Low,High,Hot,105,2025-12-01,v1.0,100
japan,1994,Potatoes,312107.0,hg/ha,1668.0,79821.18,16.06,0.8979928346354729,0.6099585062240664,0.044197752916893755,0.5359063587472318,10.0,3.0,High,High,Temperate,106,2025-12-01,v1.0,100
japan,2009,Soybeans,15812.0,hg/ha,1668.0,60970.8,15.67,0.04535762075365822,0.6099585062240664,0.03376011148970347,0.5235684909838659,10.0,5.0,Low,High,Temperate,107,2025-12-01,v1.0,100
japan,1996,Sweet potatoes,233474.0,hg/ha,1668.0,79821.18,15.2,0.6717140760564596,0.6099585062240664,0.044197752916893755,0.5086997785510914,10.0,6.0,High,High,Temperate,108,2025-12-01,v1.0,100
japan,1994,Wheat,37182.0,hg/ha,1668.0,79821.18,13.78,0.10685313880375821,0.6099585062240664,0.044197752916893755,0.4637772856690921,10.0,2.0,Medium,High,Cold,109,2025-12-01,v1.0,100
japan,2009,Wheat,32367.0,hg/ha,1668.0,60970.8,15.67,0.09299722306153868,0.6099585062240664,0.03376011148970347,0.5235684909838659,10.0,2.0,Medium,High,Temperate,110,2025-12-01,v1.0,100
laos,1990,Soybeans,8239.0,hg/ha,1834.0,21.0,24.53,0.023565128559301304,0.6725763862693324,1.1605758839551691E-5,0.8038595381208479,65.0,5.0,Low,High,Hot,111,2025-12-01,v1.0,100
laos,2004,Soybeans,8399.0,hg/ha,1834.0,3.31,24.35,0.024025553589156992,0.6725763862693324,1.8106312693384556E-6,0.7981651376146789,65.0,5.0,Low,High,Hot,112,2025-12-01,v1.0,100
lesotho,2004,Maize,6347.0,hg/ha,788.0,0.3,14.91,0.018120602581257823,0.27800829875518673,1.439645657577977E-7,0.49952546662448594,90.0,0.0,Low,Medium,Temperate,113,2025-12-01,v1.0,100
libya,2002,Potatoes,195000.0,hg/ha,56.0,5291.88,20.73,0.5609991223147869,0.001886080724254998,0.0029301440294605546,0.6836444163239481,66.0,3.0,High,Low,Temperate,114,2025-12-01,v1.0,100
mauritania,2006,Sweet potatoes,10000.0,hg/ha,92.0,1.7,27.82,0.028632681544150444,0.015465861938890985,9.191583813767083E-7,0.9079405251502689,55.0,6.0,Low,Low,Hot,115,2025-12-01,v1.0,100
mexico,2007,Cassava,122745.0,hg/ha,758.0,64501.28,16.38,0.35307405648839585,0.2666918144096567,0.0357149731055365,0.5460297374248655,4.0,7.0,High,Medium,Temperate,116,2025-12-01,v1.0,100
mexico,2008,"Rice, paddy",44619.0,hg/ha,758.0,61732.11,17.21,0.1282542697227378,0.2666918144096567,0.03418165634953835,0.5722872508699779,4.0,1.0,Medium,Medium,Temperate,117,2025-12-01,v1.0,100
mexico,1993,Soybeans,20927.0,hg/ha,758.0,34468.93,22.11,0.06007683342685717,0.2666918144096567,0.019085764542320367,0.7273014868712432,4.0,5.0,Low,Medium,Hot,118,2025-12-01,v1.0,100
mexico,2007,Soybeans,14121.0,hg/ha,758.0,64501.28,19.7,0.04049150371937094,0.2666918144096567,0.0357149731055365,0.6510597912053148,4.0,5.0,Low,Medium,Temperate,119,2025-12-01,v1.0,100
morocco,1994,Sorghum,4719.0,hg/ha,346.0,10992.57,17.98,0.013435777902476223,0.1112787627310449,0.006086672338575245,0.5966466308130338,23.0,4.0,Low,Low,Temperate,120,2025-12-01,v1.0,100
morocco,2006,Sorghum,7841.0,hg/ha,346.0,13697.0,18.51,0.022419821297535288,0.1112787627310449,0.00758414191769971,0.6134134767478646,23.0,4.0,Low,Low,Temperate,121,2025-12-01,v1.0,100
nicaragua,2001,Cassava,123077.0,hg/ha,2280.0,3603.5,26.78,0.3540294384253464,0.8408147868728781,0.001995271362021514,0.8750395444479595,48.0,7.0,High,High,Hot,122,2025-12-01,v1.0,100
niger,1990,"Rice, paddy",31432.0,hg/ha,151.0,62.0,29.71,0.09030661429331951,0.03772161448509996,3.430786343981979E-5,0.9677317304650427,57.0,1.0,Medium,Low,Hot,123,2025-12-01,v1.0,100
norway,2012,Wheat,41011.0,hg/ha,1414.0,813.93,3.09,0.11787168529949209,0.5141456054319125,4.506589247100537E-4,0.12559316671939258,107.0,2.0,Medium,High,Cold,124,2025-12-01,v1.0,100
pakistan,2000,Maize,17086.0,hg/ha,494.0,27885.0,27.73,0.049023755053884115,0.16710675216899284,0.01544017752912907,0.9050933248971844,7.0,0.0,Low,Low,Hot,125,2025-12-01,v1.0,100
pakistan,1993,Potatoes,122809.0,hg/ha,494.0,4945.0,27.25,0.3532582265003381,0.16710675216899284,0.0027380731503449203,0.8899082568807339,7.0,3.0,High,Low,Hot,126,2025-12-01,v1.0,100
